id,ap1,ap2,ap3,x,y,created_at
51,-70,-68,-59,9,2.0,2026-06-26 09:12:30
52,-70,-60,-49,13,2.0,2026-06-27 06:39:22
53,-62,-61,-60,13,2.0,2026-06-27 06:40:22
54,-64,-62,-55,13,2.0,2026-06-27 06:41:22
55,-70,-62,-71,13,2.0,2026-06-27 06:42:22
56,-70,-61,-53,13,2.0,2026-06-27 06:43:22
57,-71,-61,-53,13,2.0,2026-06-27 06:44:22
58,-58,-53,-50,13,2.0,2026-06-27 06:45:22
59,-70,-61,-50,13,2.0,2026-06-27 06:46:22
60,-65,-66,-52,13,2.0,2026-06-27 06:47:22
61,-68,-62,-54,13,2.0,2026-06-27 06:48:22
62,-65,-51,-59,13,4.0,2026-06-27 06:50:05
63,-68,-51,-60,13,4.0,2026-06-27 06:51:05
64,-56,-50,-61,13,4.0,2026-06-27 06:52:05
65,-63,-56,-54,13,4.0,2026-06-27 06:53:05
66,-61,-50,-54,13,4.0,2026-06-27 06:54:05
67,-58,-51,-66,13,4.0,2026-06-27 06:55:05
68,-57,-50,-66,13,4.0,2026-06-27 06:56:05
69,-63,-55,-62,13,4.0,2026-06-27 06:57:05
70,-62,-55,-62,13,4.0,2026-06-27 06:58:05
71,-61,-55,-60,13,4.0,2026-06-27 06:59:05
72,-65,-55,-73,13,8.0,2026-06-27 07:01:02
73,-60,-55,-72,13,8.0,2026-06-27 07:02:02
74,-64,-46,-71,13,8.0,2026-06-27 07:03:02
75,-59,-48,-62,13,8.0,2026-06-27 07:04:02
76,-59,-48,-66,13,8.0,2026-06-27 07:05:02
77,-61,-53,-62,13,8.0,2026-06-27 07:06:02
78,-61,-57,-72,13,8.0,2026-06-27 07:07:02
79,-60,-58,-70,13,8.0,2026-06-27 07:08:02
80,-69,-58,-62,13,8.0,2026-06-27 07:09:02
85,-100,-100,-55,1,1.0,2026-07-15 08:30:26
86,-80,-100,-47,1,1.0,2026-07-15 08:32:05
87,-84,-100,-50,1,1.0,2026-07-15 08:33:44
88,-100,-100,-50,1,1.0,2026-07-15 08:39:27
89,-82,-100,-51,1,1.0,2026-07-15 08:40:10
90,-100,-100,-54,1,1.0,2026-07-15 08:41:47
91,-87,-84,-49,2,4.0,2026-07-15 08:46:57
92,-86,-86,-47,2,4.0,2026-07-15 08:47:13
93,-88,-87,-52,2,4.0,2026-07-15 08:48:55
94,-84,-100,-46,1,1.0,2026-07-15 08:50:17
95,-83,-82,-48,2,4.0,2026-07-15 08:50:33
96,-82,-100,-43,1,1.0,2026-07-15 08:51:10
97,-100,-100,-49,1,1.0,2026-07-15 08:51:42
98,-84,-79,-64,2,4.0,2026-07-15 08:52:01
99,-88,-88,-47,1,1.0,2026-07-15 08:52:20
100,-83,-79,-53,2,4.0,2026-07-15 08:53:08
101,-65,-59,-58,11,5.0,2026-07-15 08:54:27
102,-86,-83,-56,2,4.0,2026-07-15 08:54:47
103,-89,-86,-55,2,4.0,2026-07-15 08:55:51
104,-84,-83,-54,2,4.0,2026-07-15 08:56:11
105,-85,-81,-46,2,4.0,2026-07-15 08:57:03
106,-63,-57,-70,11,5.0,2026-07-15 08:58:13
107,-65,-54,-69,11,5.0,2026-07-15 08:58:30
108,-62,-55,-62,11,5.0,2026-07-15 08:58:47
109,-64,-68,-77,15,5.0,2026-07-15 08:59:24
110,-66,-55,-74,11,5.0,2026-07-15 09:00:11
111,-63,-54,-66,11,5.0,2026-07-15 09:00:25
112,-63,-56,-68,11,5.0,2026-07-15 09:00:40
113,-62,-52,-64,11,5.0,2026-07-15 09:00:50
114,-61,-55,-68,11,5.0,2026-07-15 09:01:04
115,-63,-61,-64,11,5.0,2026-07-15 09:01:16
116,-59,-68,-63,15,5.0,2026-07-15 09:01:39
117,-57,-68,-66,15,9.0,2026-07-15 09:03:42
118,-55,-66,-66,15,9.0,2026-07-15 09:03:57
119,-54,-64,-72,15,9.0,2026-07-15 09:04:10
120,-53,-65,-64,15,9.0,2026-07-15 09:04:20
121,-53,-68,-65,15,9.0,2026-07-15 09:04:32
122,-58,-65,-100,15,5.0,2026-07-15 09:05:12
123,-65,-65,-70,15,5.0,2026-07-15 09:05:43
124,-58,-64,-62,15,5.0,2026-07-15 09:06:13
125,-54,-62,-63,15,9.0,2026-07-15 09:07:40
126,-56,-68,-71,15,9.0,2026-07-15 09:07:52
127,-56,-69,-66,15,9.0,2026-07-15 09:08:05
128,-56,-72,-68,15,9.0,2026-07-15 09:08:19
129,-56,-64,-70,15,9.0,2026-07-15 09:08:30
130,-58,-63,-71,15,9.0,2026-07-15 09:08:43
131,-63,-61,-64,15,5.0,2026-07-15 09:09:06
132,-58,-64,-63,15,5.0,2026-07-15 09:09:19
133,-56,-64,-63,15,5.0,2026-07-15 09:11:52
134,-57,-71,-69,15,5.0,2026-07-15 09:12:16
135,-58,-65,-67,15,5.0,2026-07-15 09:12:26
136,-79,-79,-52,7,3.0,2026-07-15 09:12:40
137,-80,-76,-51,7,3.0,2026-07-15 09:12:52
138,-62,-54,-76,11,8.0,2026-07-15 09:13:19
139,-59,-53,-69,11,8.0,2026-07-15 09:13:32
140,-61,-52,-70,11,8.0,2026-07-15 09:13:44
141,-62,-50,-70,11,8.0,2026-07-15 09:13:57
142,-61,-52,-69,11,8.0,2026-07-15 09:14:06
143,-78,-82,-58,7,3.0,2026-07-15 09:14:28
144,-79,-79,-49,7,3.0,2026-07-15 09:14:38
145,-79,-80,-51,7,3.0,2026-07-15 09:14:46
146,-78,-78,-51,7,3.0,2026-07-15 09:15:22
147,-77,-80,-53,7,3.0,2026-07-15 09:15:55
148,-83,-86,-50,7,3.0,2026-07-15 09:16:40
149,-81,-78,-55,7,3.0,2026-07-15 09:17:25
150,-76,-77,-53,7,3.0,2026-07-15 09:17:57
153,-73,-64,-67,11,2.0,2026-07-15 09:22:46
154,-67,-54,-55,11,2.0,2026-07-15 09:24:09
155,-71,-66,-61,11,2.0,2026-07-15 09:24:20
156,-58,-76,-70,18,3.0,2026-07-15 09:24:46
157,-62,-68,-74,18,3.0,2026-07-15 09:25:19
158,-62,-77,-69,18,3.0,2026-07-15 09:25:31
159,-62,-74,-77,18,3.0,2026-07-15 09:25:45
160,-65,-75,-69,18,3.0,2026-07-15 09:25:55
161,-63,-76,-70,18,3.0,2026-07-15 09:26:07
162,-59,-78,-71,18,3.0,2026-07-15 09:26:16
163,-62,-78,-74,18,3.0,2026-07-15 09:26:25
164,-62,-82,-75,18,3.0,2026-07-15 09:26:39
165,-62,-76,-68,18,3.0,2026-07-15 09:26:49
166,-60,-70,-69,18,3.0,2026-07-15 09:27:01
167,-69,-62,-62,11,2.0,2026-07-15 09:27:15
168,-69,-61,-69,11,2.0,2026-07-15 09:27:28
169,-72,-59,-57,11,2.0,2026-07-15 09:27:39
170,-72,-61,-57,11,2.0,2026-07-15 09:27:51
171,-67,-62,-61,11,2.0,2026-07-15 09:28:03
172,-65,-59,-63,11,2.0,2026-07-15 09:28:13
173,-70,-66,-67,11,2.0,2026-07-15 09:28:37
174,-63,-60,-65,13,6.0,2026-07-15 09:28:54
175,-65,-62,-60,13,6.0,2026-07-15 09:29:16
176,-59,-63,-67,13,6.0,2026-07-15 09:29:28
177,-62,-62,-65,13,6.0,2026-07-15 09:29:36
178,-65,-68,-71,13,6.0,2026-07-15 09:29:48
179,-57,-61,-61,13,6.0,2026-07-15 09:29:58
180,-60,-63,-67,13,6.0,2026-07-15 09:30:07
181,-64,-62,-70,13,6.0,2026-07-15 09:30:28
182,-60,-61,-62,13,6.0,2026-07-15 09:30:58
183,-59,-66,-61,13,6.0,2026-07-15 09:31:07
